OBJECTID,Input_FID,Americ_ESPop,Asian_Pop,Black_Pop,Hawn_PiPop,Hispanic,Multi_Race,WhitePop,Other_Pop,TotPop,Shape__Area,Shape__Length
317,617,3,5,25,3,5,5,158,6,212,1461418.18359375,4500.00048522898
318,592,5,5,22,3,4,4,150,3,188,1461418.18261719,4500.00048524067
319,591,7,2,17,9,5,4,187,3,188,1461418.18359375,4500.00048523025
320,542,4,5,22,4,9,8,151,3,184,1461417.81591797,4499.99991697549
321,541,10,1,22,5,5,8,182,16,222,1461417.81494141,4499.99991699323
322,616,9,1,24,11,7,10,190,10,195,1461418.18359375,4500.00048524253
323,590,10,1,28,11,8,7,208,11,205,1461418.18359375,4500.00048522175
324,540,10,2,29,6,6,10,208,10,224,1461417.81494141,4499.9999169724
325,615,12,2,31,14,13,15,204,9,255,1461418.18408203,4500.00048522984
326,565,9,3,15,9,5,8,193,8,230,1461417.81542969,4499.99991696647
327,539,11,2,33,13,16,15,186,13,249,1461417.81445313,4499.99991698265
328,614,12,5,48,16,15,9,214,16,259,1461418.18408203,4500.00048521979
329,613,13,6,57,5,25,11,133,8,215,1461418.18359375,4500.00048522292
330,564,7,6,39,6,17,5,228,9,321,1461417.81445313,4499.99991698845
331,563,6,3,60,7,37,4,109,7,186,1461417.81542969,4499.99991696728
332,538,10,2,41,6,18,9,211,13,277,1461417.81494141,4499.99991697549
333,612,7,3,34,10,110,14,162,8,241,1461418.18457031,4500.00048522136
334,587,12,5,46,10,29,11,123,9,187,1461418.18457031,4500.00048523508
335,537,8,6,44,6,35,7,102,8,179,1461417.81445313,4499.99991697549
336,611,11,7,26,13,92,15,136,8,207,1461418.18408203,4500.00048522444
337,610,20,6,16,19,72,24,155,10,228,1461418.18408203,4500.00048522729
338,710,17,5,37,26,183,25,180,5,339,1461417.81494141,4499.99991696292
339,711,29,3,39,22,197,22,181,6,337,1461417.81494141,4499.99991696199
340,686,24,3,51,28,291,16,222,1,467,1461417.81445313,4499.99991699608
341,685,30,7,42,22,158,38,205,1,317,1461417.81494141,4499.99991697787
342,636,19,7,54,17,261,15,232,0,435,1461417.81494141,4499.99991698777
343,635,15,4,66,23,195,20,209,3,363,1461417.81494141,4499.99991698696
344,712,34,5,113,25,470,38,324,1,649,1461417.81542969,4499.9999169877
345,662,15,11,58,19,271,21,228,2,459,1461417.81445313,4499.99991698963
346,637,12,4,45,9,38,12,128,12,202,1461417.81494141,4499.99991698311
347,714,16,8,214,24,43,23,182,19,399,1461417.81542969,4499.99991698625
348,713,14,7,221,27,107,21,142,6,413,1461417.81494141,4499.99991697642
349,664,4,4,44,12,12,8,220,8,281,1461417.81494141,4499.99991699958
350,663,8,3,38,13,27,8,143,9,207,1461417.81494141,4499.99991698671
351,638,12,4,58,13,13,12,198,8,285,1461417.81494141,4499.99991698137
352,715,33,7,179,27,38,25,181,24,386,1461417.81445313,4499.99991698172
353,665,18,11,100,14,32,23,250,23,388,1461417.81542969,4499.9999169823
354,639,16,1,50,6,22,8,233,10,293,1461417.81494141,4499.99991697718
355,716,23,10,159,19,29,18,208,25,420,1461417.81494141,4499.99991697613
356,690,21,6,99,23,38,27,229,22,361,1461417.81445313,4499.99991697723
357,640,20,5,74,28,21,18,203,10,321,1461417.81542969,4499.99991697963
358,717,13,8,32,12,5,13,178,15,215,1461417.81445313,4499.99991698689
359,692,5,4,21,9,8,6,136,9,181,1461417.81494141,4499.99991698787
360,691,6,7,25,1,3,5,144,7,192,1461417.81542969,4499.99991697892
361,642,4,4,20,6,2,6,165,6,159,1461417.81591797,4499.99991697235
362,641,3,0,22,4,9,3,143,6,186,1461417.81494141,4499.99991698789
363,718,17,4,34,9,2,13,182,11,215,1461417.81542969,4499.99991699061
364,693,3,7,29,6,2,8,132,9,157,1461417.81542969,4499.99991699014
365,643,4,4,14,4,4,3,155,5,195,1461417.81494141,4499.99991697637
366,719,13,8,32,20,9,23,154,18,226,1461417.81494141,4499.99991696216
367,669,7,5,20,7,8,5,149,5,158,1461417.81494141,4499.99991700156
368,644,7,7,20,4,4,4,147,4,197,1461417.81494141,4499.99991695547
369,721,12,6,11,9,2,6,303,15,355,1461417.81494141,4499.99991699497
370,720,31,1,14,34,3,32,144,35,192,1461417.81542969,4499.99991697985
371,671,4,1,17,4,1,4,167,6,187,1461417.81494141,4499.99991697096
372,670,5,5,13,1,2,4,150,3,187,1461417.81494141,4499.99991698951
373,645,4,4,16,2,5,5,164,8,183,1461417.81494141,4499.99991697083
374,722,6,11,3,6,4,7,265,9,255,1461417.81494141,4499.99991695483
375,672,7,10,27,5,4,5,187,4,231,1461417.81494141,4499.99991699108
376,646,5,1,9,6,3,4,133,2,182,1461417.81542969,4499.99991697299
377,723,9,2,8,3,2,2,55,6,78,1461417.81494141,4499.99991696682
378,697,15,20,81,14,24,7,191,13,295,1461417.81494141,4499.99991696187
379,647,17,26,104,18,25,8,264,17,470,1461417.81445313,4499.99991699463
380,698,10,27,63,6,27,6,182,7,260,1461417.81542969,4499.9999169959
381,648,14,35,101,23,46,8,276,15,466,1461417.81445313,4499.99991697613
382,797,5,5,1,6,1,2,45,2,50,1461417.81494141,4499.99991699921
383,747,4,2,0,7,1,5,37,3,45,1461417.81494141,4499.99991696554
384,822,10,7,6,10,2,15,262,7,277,1461417.81445313,4499.99991697777
385,772,9,5,6,9,3,7,266,6,273,1461417.81542969,4499.99991698863
386,746,7,10,15,11,5,12,325,12,356,1461417.81445313,4499.9999169702
387,821,13,7,8,13,1,17,238,13,243,1461417.81494141,4499.99991698497
388,771,12,6,11,13,5,10,306,13,354,1461417.81494141,4499.99991697444
389,770,24,4,15,21,1,21,268,17,267,1461417.81494141,4499.99991697368
390,745,21,5,10,15,3,11,320,13,341,1461417.81494141,4499.99991696839
391,769,16,5,14,16,3,24,259,18,250,1461417.81445313,4499.99991698172
